question_id,cosine_metric,similarity,llm,version
75392538,0.34672799706459045,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73750333,0.34763050079345703,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74753176,0.34884294867515564,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75221294,0.34951063990592957,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73972027,0.3501969873905182,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74387517,0.3515276610851288,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73452611,0.3521609306335449,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
72978467,0.3528423011302948,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75948146,0.3571908473968506,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74402927,0.35855478048324585,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74214892,0.3598736524581909,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74512385,0.3605978488922119,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74587419,0.36522847414016724,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75768912,0.365501344203949,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75211654,0.3667609989643097,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75909740,0.36792489886283875,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
76004983,0.3679507374763489,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75255746,0.3697670102119446,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75449324,0.37009114027023315,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75221294,0.37049779295921326,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73682305,0.3757379949092865,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
76004983,0.3759613633155823,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75299402,0.3761012554168701,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73805636,0.3762636184692383,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74857640,0.37680381536483765,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73143311,0.37726712226867676,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75818472,0.3780609667301178,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73253228,0.3780840039253235,LOW,meta-llama/Llama-2-7b-chat-hf,llama
73526145,0.3785000741481781,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75377287,0.3803727626800537,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75089553,0.38096264004707336,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73867414,0.3818897008895874,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75385779,0.38333845138549805,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75948146,0.38386550545692444,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74996056,0.3877602219581604,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74635523,0.38876110315322876,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74041416,0.3896360397338867,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73218534,0.39296993613243103,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75463207,0.3934626877307892,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75388014,0.3936448097229004,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75392538,0.3946433961391449,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73452611,0.39560285210609436,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75299402,0.3963852524757385,LOW,gpt-3.5-turbo,chat-gpt-3.5
74622976,0.39860275387763977,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75377287,0.398965060710907,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75802587,0.400029718875885,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74506570,0.4005585014820099,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74382338,0.40192273259162903,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75374281,0.40466344356536865,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73218534,0.40495944023132324,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74625152,0.4067491292953491,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75715631,0.4070115089416504,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74381155,0.4093642830848694,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74622976,0.4100659191608429,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75056287,0.41190212965011597,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73611112,0.4126020073890686,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73879329,0.4140165448188782,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74053380,0.41497382521629333,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75085893,0.4169912338256836,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74365144,0.41776686906814575,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
76030821,0.41789889335632324,LOW,gpt-3.5-turbo,chat-gpt-3.5
75689998,0.4210405945777893,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75255746,0.4224928617477417,HIGH,gpt-3.5-turbo,chat-gpt-3.5
76066060,0.42365890741348267,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74214892,0.4243520200252533,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75100575,0.42492058873176575,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73682305,0.4257221221923828,LOW,gpt-3.5-turbo,chat-gpt-3.5
72954104,0.4257848858833313,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74041404,0.4264821708202362,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75004091,0.42698198556900024,HIGH,gpt-3.5-turbo,chat-gpt-3.5
72925947,0.430801123380661,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74437558,0.43134140968322754,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75778261,0.4317963421344757,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73553976,0.43238288164138794,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74328847,0.43280473351478577,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74996056,0.43284764885902405,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75715631,0.4333226978778839,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75709844,0.4341772496700287,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73464752,0.43424680829048157,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74625152,0.4344978630542755,HIGH,gpt-3.5-turbo,chat-gpt-3.5
72971634,0.4357779026031494,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73675612,0.43621423840522766,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73410719,0.4404863119125366,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74506570,0.44057393074035645,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74041404,0.4417904019355774,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73369911,0.4422425925731659,LOW,gpt-3.5-turbo,chat-gpt-3.5
75385779,0.4437330961227417,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
76071743,0.4451701045036316,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74481905,0.44595104455947876,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73810279,0.4461963176727295,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73553976,0.4465930461883545,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73184914,0.4466930627822876,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74393426,0.44672727584838867,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74999834,0.4470662474632263,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74637515,0.44880810379981995,LOW,gpt-3.5-turbo,chat-gpt-3.5
75709844,0.4488104581832886,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75449068,0.45118820667266846,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74422849,0.4528704583644867,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73004413,0.4528798460960388,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75585439,0.4531279504299164,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75555522,0.45331764221191406,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74919045,0.4546522796154022,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73674092,0.45561617612838745,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74910014,0.45580944418907166,VERY HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75100575,0.4579702615737915,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73201201,0.4587784707546234,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75789993,0.45899075269699097,LOW,meta-llama/Llama-2-7b-chat-hf,llama
73201201,0.45957475900650024,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74263069,0.4598334729671478,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73367075,0.46129703521728516,LOW,gpt-3.5-turbo,chat-gpt-3.5
72843205,0.46186625957489014,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74407560,0.46415501832962036,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74594144,0.4644317626953125,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75257103,0.46610766649246216,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75220574,0.4664435386657715,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
72971634,0.46781402826309204,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73076798,0.4682358503341675,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74743835,0.4695955812931061,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73102323,0.46962279081344604,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74548191,0.47129449248313904,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73805636,0.47288405895233154,LOW,gpt-3.5-turbo,chat-gpt-3.5
74237232,0.47355788946151733,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74393426,0.47578150033950806,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75449068,0.4764977693557739,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75694420,0.47731128334999084,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
76037084,0.47877490520477295,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75389612,0.4793945550918579,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75205360,0.47971290349960327,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74234235,0.4812343716621399,LOW,meta-llama/Llama-2-7b-chat-hf,llama
72843205,0.4812728762626648,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
76037084,0.4816123843193054,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75477705,0.48272189497947693,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73004413,0.48276346921920776,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
72954104,0.48288142681121826,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74402927,0.48289790749549866,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74310780,0.4847619831562042,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75678528,0.48514848947525024,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74310780,0.4857827126979828,LOW,gpt-3.5-turbo,chat-gpt-3.5
74952536,0.4862003028392792,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75584772,0.48634713888168335,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74110774,0.48750564455986023,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73422387,0.4878252148628235,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74587419,0.4888434112071991,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75463207,0.48926225304603577,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73738035,0.49036771059036255,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73646644,0.491865336894989,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74284478,0.49216777086257935,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75211654,0.49223873019218445,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75778261,0.4933304488658905,LOW,gpt-3.5-turbo,chat-gpt-3.5
74731934,0.49343693256378174,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73300008,0.494009405374527,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
76009718,0.49479052424430847,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74257296,0.49530816078186035,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74237232,0.4959118962287903,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74368270,0.4967377185821533,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73253228,0.49722784757614136,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75204334,0.4973209500312805,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75659998,0.49853140115737915,LOW,meta-llama/Llama-2-7b-chat-hf,llama
74717107,0.4986521601676941,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75388014,0.4989616870880127,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74866512,0.4999626576900482,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75445007,0.5012032389640808,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74777076,0.5013601183891296,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75188688,0.5024168491363525,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
72901581,0.5025424361228943,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74110774,0.5029518604278564,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73750290,0.5031344294548035,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75205360,0.5032744407653809,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75056105,0.5032923221588135,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73067624,0.5035840272903442,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75259064,0.5040035247802734,HIGH,gpt-3.5-turbo,chat-gpt-3.5
72907961,0.5043357610702515,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74077744,0.5045320987701416,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75610201,0.5060762166976929,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75323021,0.5064554214477539,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75363507,0.5066210031509399,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73867414,0.506936252117157,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75114654,0.5074082612991333,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75279839,0.508161187171936,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75514021,0.5083139538764954,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75491505,0.5083351135253906,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75517381,0.5089985728263855,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73225767,0.5105604529380798,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74500669,0.5114556550979614,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74729692,0.511654257774353,LOW,meta-llama/Llama-2-7b-chat-hf,llama
73464752,0.511674702167511,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75768527,0.5116881728172302,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75922766,0.5119494795799255,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74234235,0.5119807124137878,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74952536,0.5126835703849792,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74603346,0.5129216909408569,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73738035,0.5133196115493774,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74691834,0.5135657787322998,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75958646,0.5141276121139526,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75534461,0.5141782164573669,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74339986,0.5142549276351929,LOW,meta-llama/Llama-2-7b-chat-hf,llama
73077152,0.5144014358520508,LOW,meta-llama/Llama-2-7b-chat-hf,llama
73270959,0.5146301984786987,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73076798,0.5147168040275574,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74475086,0.515067994594574,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75922766,0.515081524848938,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74594144,0.5152534246444702,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75659998,0.515574038028717,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75312392,0.5165184736251831,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75323021,0.517700731754303,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73690166,0.5177192091941833,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74795206,0.5182449221611023,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75039363,0.5194566249847412,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74257296,0.5199140906333923,LOW,gpt-3.5-turbo,chat-gpt-3.5
75039363,0.5201488733291626,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75040685,0.5206647515296936,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73410719,0.5209543704986572,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
76053426,0.5223420262336731,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74637515,0.5227745771408081,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73316739,0.5231239795684814,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75445007,0.5233874917030334,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74962116,0.5240468978881836,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73546092,0.5241435766220093,LOW,meta-llama/Llama-2-7b-chat-hf,llama
73528506,0.5244625806808472,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75672793,0.5247088670730591,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75119837,0.5247803926467896,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
73158541,0.5250146389007568,LOW,gpt-3.5-turbo,chat-gpt-3.5
75915685,0.5251772403717041,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74365692,0.5253371596336365,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75377220,0.5257956385612488,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75652520,0.5276336669921875,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75827366,0.5277349352836609,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74864399,0.5279732942581177,HIGH,gpt-3.5-turbo,chat-gpt-3.5
73669427,0.5285322666168213,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74560568,0.5292724967002869,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
73717005,0.5317084789276123,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
75198599,0.5319113731384277,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75257103,0.5325266718864441,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75012061,0.5330888628959656,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75642280,0.5336264371871948,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74026877,0.5336853265762329,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
75953590,0.5343942046165466,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74481905,0.5347771644592285,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
72863142,0.5350182056427002,LOW,gpt-3.5-turbo,chat-gpt-3.5
75274866,0.535400927066803,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74339986,0.5355614423751831,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74189852,0.5372215509414673,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75881502,0.5378575921058655,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75260382,0.5380882620811462,LOW,gpt-3.5-turbo,chat-gpt-3.5
75238728,0.5386308431625366,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74560568,0.5387897491455078,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
72966905,0.5393322706222534,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
73354652,0.5405722856521606,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
74244055,0.541455090045929,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
75074930,0.5415804982185364,HIGH,gpt-3.5-turbo,chat-gpt-3.5
75644586,0.5418820381164551,MEDIUM,meta-llama/Llama-2-7b-chat-hf,llama
74077744,0.5418840050697327,HIGH,gpt-3.5-turbo,chat-gpt-3.5
74187884,0.5421389937400818,HIGH,meta-llama/Llama-2-7b-chat-hf,llama
74743835,0.5422804355621338,LOW,meta-llama/Llama-2-7b-chat-hf,llama
75555522,0.5423610210418701,MEDIUM,gpt-3.5-turbo,chat-gpt-3.5
